Latitude,Longitude,Date,Depth (m),Temperature (°C),Salinity (PSU),Pressure (dbar),DOXY (Âµmol/kg),Nitrate (Âµmol/L),Phosphate (Âµmol/L),Silicate (Âµmol/L),pH,Chlorophyll-a (mg/mÂ³),Density (kg/mÂ³),Potential Density (kg/mÂ³),Total Alkalinity (Âµmol/kg),pCOâ (Âµatm),Fluorescence (a.u.),Turbidity (NTU),PAR (Âµmol/mÂ²/s),Ocean Region
-21.16,59.34,1/9/2024 19:10,222.2222222,25.11,34.974,222.8,144.36,8.08,0.469,10.34,8.022,0.054,996.96,997,2239.1,387.7,0.173,0.345,23.5,South Indian Ocean
-21.16,59.34,3/8/2024 3:08,333.3333333,22.12,35.873,333.4,143.87,9.28,1.016,13.9,7.914,0.17,998.27,998.34,2416.4,367,0.088,0.161,2.5,South Indian Ocean
-21.16,59.34,7/31/2025 13:49,444.4444444,20.72,36.66,445.8,150.62,13.05,0.946,18.25,7.988,0.015,999.18,999.27,2464.7,399.5,0.103,0.011,0.3,South Indian Ocean
-21.16,59.34,3/5/2024 6:20,555.5555556,17.46,35.202,556,130.38,15.24,1.246,22.59,7.889,0.06,998.67,998.78,2370.6,395.9,0.043,0.01,0,South Indian Ocean
-21.16,59.34,5/14/2025 13:55,666.6666667,15.39,36.498,668.7,166.66,16,1.386,26.73,7.802,0.018,1000.12,1000.25,2279.3,387.7,0.003,0.003,0,South Indian Ocean
-21.16,59.34,6/27/2024 7:37,777.7777778,13.4,36.401,776.4,185.77,15.62,1.899,31.66,7.863,0.028,1000.44,1000.6,2432.5,357.4,0.003,0.002,0,South Indian Ocean
-21.16,59.34,3/2/2025 10:44,888.8888889,11.05,36.306,889.1,146.5,20.95,1.879,36.18,7.795,0.01,1000.83,1001.01,2310.6,362.9,0.003,0,0,South Indian Ocean
-21.16,59.34,4/8/2025 6:31,1000,8.51,37.086,1001.4,152.96,24.15,2.407,40.98,7.89,0.01,1001.97,1002.17,2414.2,367,0.001,0,0,South Indian Ocean
5.62,111.01,12/29/2024 2:26,0,29.08,35.357,0.8,171.1,4.08,0.429,0.17,8.058,1.297,996.47,996.47,2348.2,400,0.479,2.644,2000,Eastern Indian Ocean
5.62,111.01,10/10/2024 1:11,111.1111111,26.59,35.094,110.1,176.32,4.67,0.319,6.2,8.149,0.502,996.76,996.78,2243.4,415.8,0.624,0.176,216.7,Eastern Indian Ocean
5.62,111.01,4/27/2024 11:09,222.2222222,24.22,35.038,223.9,133.11,5.72,0.69,10.7,8.025,0.245,997.19,997.23,2338.4,375.8,0.205,0.527,23.5,Eastern Indian Ocean
5.62,111.01,10/23/2024 12:09,333.3333333,22.37,34.551,332.5,200.5,11.02,0.688,14.71,7.979,0.13,997.17,997.24,2290.7,401.1,0.141,0.108,2.5,Eastern Indian Ocean
5.62,111.01,2/25/2024 21:54,444.4444444,21.09,36.558,444.8,154.94,11.4,1.278,19.44,8.054,0.151,999.03,999.12,2429.3,355.2,0.1,0.028,0.3,Eastern Indian Ocean
5.62,111.01,5/23/2024 12:10,555.5555556,17.37,35.935,557.1,144.28,15.24,1.123,24.1,8,0.08,999.27,999.38,2351.7,332.4,0.039,0.007,0,Eastern Indian Ocean
5.62,111.01,1/31/2025 3:09,666.6666667,16.28,36.669,668.4,168.93,17.12,1.349,27.46,7.988,0.03,1000.08,1000.21,2480.9,346.3,0.013,0.002,0,Eastern Indian Ocean
5.62,111.01,2/25/2024 8:42,777.7777778,13.73,35.654,778.9,152.82,17.02,1.628,32.12,7.925,0.02,999.78,999.94,2338.7,384.4,0.001,0.002,0,Eastern Indian Ocean
5.62,111.01,12/26/2024 23:15,888.8888889,11.11,35.382,887.5,128,18.4,1.939,36.26,7.863,0.01,1000.08,1000.26,2380.8,315.5,0.002,0.001,0,Eastern Indian Ocean
5.62,111.01,8/23/2024 6:05,1000,9.33,36.49,1001.3,76.72,20.55,2.435,40.91,7.802,0.002,1001.33,1001.53,2395.8,328.3,0.002,0,0,Eastern Indian Ocean
2.5,40.08,9/24/2024 5:24,0,28.02,35.022,0.4,239.09,2.8,0.297,1.17,8.035,0.853,996.41,996.41,2258.4,385.4,1.142,1.999,2000,Western Indian Ocean
2.5,40.08,1/17/2024 16:01,111.1111111,27.49,35.431,112.9,146.06,5.65,0.227,6.02,8.044,0.586,996.85,996.87,2367.7,417.6,0.594,1.577,216.7,Western Indian Ocean
2.5,40.08,9/5/2024 23:44,222.2222222,24.05,36.073,222.1,202.76,6.96,0.474,10.78,8.088,0.301,998.05,998.09,2281.4,382.8,0.068,0.51,23.5,Western Indian Ocean
2.5,40.08,1/15/2024 12:38,333.3333333,22.85,34.996,334.4,147.43,11.37,0.875,14.48,7.949,0.078,997.43,997.5,2370.2,372,0.142,0.173,2.5,Western Indian Ocean
2.5,40.08,3/19/2025 5:48,444.4444444,19.51,34.754,445.9,158.74,12.9,1.284,18.81,7.961,0.032,997.9,997.99,2341.6,350.6,0.1,0.043,0.3,Western Indian Ocean
2.5,40.08,12/6/2024 16:01,555.5555556,17.13,35.978,557.3,110.01,15.22,1.133,22.22,7.888,0.088,999.36,999.47,2266.3,345.4,0.02,0.011,0,Western Indian Ocean
2.5,40.08,12/17/2024 20:39,666.6666667,16.23,36.179,666.8,120.43,17.12,1.339,27.18,7.863,0.023,999.7,999.83,2397.3,331.9,0.012,0,0,Western Indian Ocean
2.5,40.08,4/27/2025 14:02,777.7777778,13.8,36.688,778.5,121.85,17.33,1.752,31.89,7.848,0.03,1000.59,1000.75,2413.3,334.9,0.01,0,0,Western Indian Ocean
2.5,40.08,2/6/2024 21:44,888.8888889,10.55,36.398,887.2,150.8,21.03,1.983,37.32,7.889,0.006,1001.01,1001.19,2319,361,0,0.001,0,Western Indian Ocean
2.5,40.08,8/19/2025 15:18,1000,9.29,37.492,999.4,119.26,21.45,2.174,40.18,7.856,0.007,1002.14,1002.34,2511.5,372.1,0.001,0,0,Western Indian Ocean
-0.59,51.91,6/30/2025 6:16,0,29.72,34.14,1.1,205.05,0.84,0.012,0.39,8.175,1.006,995.37,995.37,2302.5,426.2,0.893,3.834,2000,Western Indian Ocean
-0.59,51.91,3/2/2024 10:17,111.1111111,26.41,35.414,110.8,225.37,4.42,0.392,5.09,8.099,0.837,997.05,997.07,2371,392.1,0.684,0.306,216.7,Western Indian Ocean
-0.59,51.91,5/18/2024 2:34,222.2222222,23.78,35.818,223.2,219,5.36,0.927,10.45,8.01,0.198,997.9,997.94,2404.1,373.7,0.065,0.525,23.5,Western Indian Ocean
-0.59,51.91,8/16/2024 18:20,333.3333333,22.26,35.742,332.9,221.1,11.02,0.799,15.22,7.912,0.11,998.14,998.21,2367.9,372.5,0.197,0.148,2.5,Western Indian Ocean
-0.59,51.91,9/24/2024 1:49,444.4444444,21.07,34.845,445.1,194.5,9.71,1.308,19.68,8.033,0.132,997.66,997.75,2198.8,342.3,0.073,0.007,0.3,Western Indian Ocean
-0.59,51.91,12/13/2024 16:37,555.5555556,16.96,35.798,557.3,160.74,12.07,1.556,23.61,7.834,0.047,999.25,999.36,2423.5,372.9,0.008,0.008,0,Western Indian Ocean
-0.59,51.91,6/9/2025 0:31,666.6666667,16.1,35.558,666.3,142.57,18.06,1.763,28.58,7.92,0.051,999.23,999.36,2228.9,345.3,0.006,0.003,0,Western Indian Ocean
-0.59,51.91,2/19/2024 4:25,777.7777778,12.92,35.439,778.9,94.57,16.38,1.909,31.6,7.904,0.012,999.77,999.93,2266.9,374.1,0.007,0.001,0,Western Indian Ocean
-0.59,51.91,11/10/2024 22:59,888.8888889,11.96,36.046,888.4,147.15,21.23,1.928,36.89,7.87,0.013,1000.44,1000.62,2296.7,345.5,0.001,0,0,Western Indian Ocean
-0.59,51.91,1/30/2024 4:20,1000,8.72,36.627,998.7,160.59,20.39,2.314,40.96,7.72,0.005,1001.56,1001.76,2293.9,364,0.002,0,0,Western Indian Ocean
7.1,107.36,5/13/2025 9:01,0,28.19,34.018,-1.9,158.29,3.75,0.314,0.4,8.055,0.152,995.58,995.58,2168.3,425,0.172,1.227,2000,Eastern Indian Ocean
7.1,107.36,4/19/2024 12:41,111.1111111,27.12,36.109,109.5,169.06,3.97,0.513,6.09,8.063,0.576,997.46,997.48,2448.9,366.4,0.576,1.465,216.7,Eastern Indian Ocean
7.1,107.36,1/29/2025 23:14,222.2222222,23.87,36.073,220.7,200.51,8.98,0.452,9.51,7.954,0.355,998.08,998.12,2384.8,379.5,0.249,0.196,23.5,Eastern Indian Ocean
7.1,107.36,2/6/2024 14:51,333.3333333,23.16,34.681,332.4,171.15,10.46,1.113,14.61,8.049,0.263,997.11,997.18,2343.1,403.9,0.172,0.176,2.5,Eastern Indian Ocean
7.1,107.36,4/15/2024 23:01,444.4444444,19.64,36.342,444.4,160.6,9.76,1.361,19.58,7.995,0.156,999.15,999.24,2364.2,357.2,0.052,0.049,0.3,Eastern Indian Ocean
7.1,107.36,6/16/2024 12:44,555.5555556,18.2,35.629,556.1,190.91,14.62,1.495,23.61,8.016,0.046,998.86,998.97,2301.3,339,0.013,0.019,0,Eastern Indian Ocean
7.1,107.36,4/5/2025 13:57,666.6666667,14.95,35.304,666.2,99.24,15.51,1.451,27.42,7.814,0.037,999.25,999.38,2300.8,374.3,0.02,0.006,0,Eastern Indian Ocean
7.1,107.36,4/28/2024 11:33,777.7777778,12.86,36.159,777.2,130.57,18.26,1.755,32.66,7.939,0.002,1000.36,1000.52,2295.3,313.7,0.006,0,0,Eastern Indian Ocean
7.1,107.36,12/20/2024 19:34,888.8888889,10.84,36.917,888.8,142.09,19.91,1.838,36.12,7.905,0.004,1001.37,1001.55,2486.5,319.6,0.003,0,0,Eastern Indian Ocean
7.1,107.36,3/23/2025 0:18,1000,9.01,36.672,999,104.08,23.86,2.422,40.31,7.712,0.002,1001.54,1001.74,2468.2,305.1,0.002,0,0,Eastern Indian Ocean
18.54,66.11,7/31/2025 19:37,0,29.97,34.569,-1.6,199.25,3.13,0.045,1.38,8.134,0.199,995.66,995.66,2220,403.4,0.512,4.213,2000,Arabian Sea
18.54,66.11,2/6/2025 16:55,111.1111111,26.57,35.178,109.5,145.49,6.81,0.265,5.56,8.138,0.64,996.83,996.85,2391.4,394.8,0.822,1.007,216.7,Arabian Sea
18.54,66.11,2/9/2025 11:58,222.2222222,24.92,35.32,223.3,229.08,8.68,0.75,10,7.939,0.376,997.27,997.31,2337.4,350,0.059,0.304,23.5,Arabian Sea
18.54,66.11,9/17/2024 3:11,333.3333333,22.66,36.072,333.9,194.37,8.99,0.936,14.29,8.063,0.099,998.33,998.4,2255,389.8,0.172,0.074,2.5,Arabian Sea
18.54,66.11,12/15/2024 23:05,444.4444444,20.74,35.869,445.2,174.47,9.37,1.008,18.58,7.879,0.137,998.55,998.64,2292.1,393.7,0.059,0.05,0.3,Arabian Sea
18.54,66.11,8/18/2025 10:29,555.5555556,18.54,36.545,556.9,146.41,15.85,1.349,22.93,7.852,0.035,999.53,999.64,2463.9,369.7,0.017,0.008,0,Arabian Sea
18.54,66.11,2/14/2025 20:34,666.6666667,15,36.667,666.3,147.31,16.86,1.69,27.6,7.807,0.049,1000.33,1000.46,2367.2,325.6,0.01,0.006,0,Arabian Sea
18.54,66.11,8/4/2025 16:34,777.7777778,14.4,37.087,779.4,144.5,19.96,1.746,31.65,7.906,0.009,1000.79,1000.95,2502.1,322.4,0.011,0.001,0,Arabian Sea
18.54,66.11,10/25/2024 18:38,888.8888889,11.55,36.616,890.7,117.96,18.32,2.178,36.97,7.918,0.005,1000.98,1001.16,2336.4,339.8,0.003,0,0,Arabian Sea
18.54,66.11,3/29/2024 17:10,1000,9.75,36.696,1000.5,113.59,20.77,2.038,41.35,7.758,0.009,1001.41,1001.61,2382.2,364,0.001,0,0,Arabian Sea
7.34,102.58,10/20/2024 7:27,0,28.11,35.079,1.6,225.11,4.94,0.491,1.44,8.076,1.123,996.44,996.44,2291.7,393.4,0.771,3.679,2000,Eastern Indian Ocean
7.34,102.58,6/19/2025 4:28,111.1111111,27.35,35.967,112.9,164.61,2.28,0.704,5.98,8.057,0.436,997.3,997.32,2430.1,373.2,0.054,0.687,216.7,Eastern Indian Ocean
7.34,102.58,11/27/2024 14:39,222.2222222,24.54,35.39,221.6,168.55,9.13,0.734,9.76,8.03,0.478,997.4,997.44,2231.1,350,0.126,0.518,23.5,Eastern Indian Ocean
7.34,102.58,1/23/2025 18:16,333.3333333,23.03,35.016,331.6,131.9,8.06,0.74,15.18,7.901,0.277,997.41,997.48,2323.7,382.9,0.154,0.111,2.5,Eastern Indian Ocean
7.34,102.58,8/15/2024 2:40,444.4444444,19.96,36.479,442.9,118.33,11.01,1.038,18.83,8.064,0.107,999.19,999.28,2316.1,360.3,0.011,0.017,0.3,Eastern Indian Ocean
7.34,102.58,4/11/2024 0:25,555.5555556,18.51,36.28,554.8,162.04,15.54,1.206,22.89,7.869,0.029,999.32,999.43,2283,375.1,0.014,0.003,0,Eastern Indian Ocean
7.34,102.58,3/16/2024 10:12,666.6666667,16.37,36.57,666,160.3,15.04,1.583,28.22,7.842,0.04,999.98,1000.11,2405,353.5,0.017,0,0,Eastern Indian Ocean
7.34,102.58,7/29/2025 4:58,777.7777778,13.13,35.98,779.2,162.77,17.53,2.023,31.98,7.809,0.028,1000.16,1000.32,2373.6,319.6,0.003,0.001,0,Eastern Indian Ocean
7.34,102.58,9/17/2024 16:03,888.8888889,11.49,36.697,887.9,170.03,17.89,2.216,36.2,7.901,0.016,1001.06,1001.24,2429.8,348.2,0.002,0,0,Eastern Indian Ocean
7.34,102.58,1/5/2025 6:36,1000,9.79,37.454,1001.2,163.82,22.69,2.395,40.25,7.845,0.01,1002.01,1002.21,2430.8,344.4,0,0,0,Eastern Indian Ocean
8.31,43.96,11/2/2024 1:24,0,29.53,35.571,1.3,165.46,1.44,0.499,1.01,8.025,0.579,996.55,996.55,2391.4,398.1,0.943,1.184,2000,Western Indian Ocean
8.31,43.96,10/12/2024 21:55,111.1111111,25.82,36.1,110.4,168.21,5.55,0.364,5.89,8.085,0.574,997.72,997.74,2325.8,396.2,0.467,0.445,216.7,Western Indian Ocean
8.31,43.96,9/19/2024 23:38,222.2222222,23.69,35.451,220.4,197.09,8.46,0.648,9.24,7.981,0.089,997.62,997.66,2405.7,385.5,0.253,0.483,23.5,Western Indian Ocean
8.31,43.96,1/12/2025 19:12,333.3333333,22.67,34.698,334.5,154.05,10.29,1.11,13.8,7.944,0.217,997.22,997.29,2231.3,361.5,0.097,0.028,2.5,Western Indian Ocean
8.31,43.96,6/1/2024 14:13,444.4444444,20.57,35.469,444,153.09,11.91,1.036,18.42,8.064,0.127,998.26,998.35,2408.9,398.7,0.04,0.055,0.3,Western Indian Ocean
8.31,43.96,3/12/2025 1:47,555.5555556,18.78,36.481,554.2,113.46,13.17,1.551,22.73,7.99,0.044,999.43,999.54,2462.8,342.1,0.022,0.014,0,Western Indian Ocean
8.31,43.96,12/23/2024 0:40,666.6666667,16.18,35.917,665.5,171.76,16.17,1.491,27.04,7.814,0.028,999.5,999.63,2364,372.3,0.02,0.004,0,Western Indian Ocean
8.31,43.96,6/21/2024 16:18,777.7777778,13.26,35.842,778.4,143.85,18.44,2.051,31.62,7.901,0.019,1000.02,1000.18,2399,334.5,0.011,0,0,Western Indian Ocean
8.31,43.96,1/30/2024 13:25,888.8888889,12.03,35.913,890.7,132.26,19.74,1.87,36.01,7.855,0.005,1000.32,1000.5,2311,359.1,0.002,0,0,Western Indian Ocean
8.31,43.96,2/4/2025 14:40,1000,8.45,36.31,1001.2,137.93,23.59,2.32,41.29,7.891,0.007,1001.36,1001.56,2326.4,336.4,0.001,0,0,Western Indian Ocean
-14.9,84.74,7/28/2025 17:14,0,28.58,35.62,-0.1,206.92,1.46,0.427,1.34,8.149,0.545,996.78,996.78,2252.6,369.3,0.412,2.506,2000,South Indian Ocean
-14.9,84.74,8/20/2025 14:22,111.1111111,27.45,35.955,112.6,143.37,5.81,0.521,5.36,7.974,0.472,997.27,997.29,2343.9,371.3,0.926,0.616,216.7,South Indian Ocean
-14.9,84.74,3/8/2024 0:17,222.2222222,24.77,34.487,224.1,189.21,5.52,0.783,9.09,7.969,0.178,996.64,996.68,2292.9,366.7,0.391,0.092,23.5,South Indian Ocean
-14.9,84.74,2/24/2024 23:34,333.3333333,23.31,35.621,334.6,196.77,10.65,1.129,15.18,8.06,0.115,997.83,997.9,2281.6,375.9,0.074,0.008,2.5,South Indian Ocean
-14.9,84.74,5/24/2024 13:36,444.4444444,19.67,35.049,443.4,204.39,11.65,1.302,18.04,7.904,0.091,998.11,998.2,2244.1,352.9,0.098,0.052,0.3,South Indian Ocean
-14.9,84.74,4/1/2024 22:36,555.5555556,17.32,35.489,555.8,122.23,12.76,1.578,23.52,7.845,0.052,998.93,999.04,2307,385.9,0.023,0.01,0,South Indian Ocean
-14.9,84.74,11/18/2024 17:15,666.6666667,16.24,36.808,666.3,146.57,13.35,1.624,27.1,7.89,0.017,1000.2,1000.33,2369.3,375,0.014,0.006,0,South Indian Ocean
-14.9,84.74,12/2/2024 16:00,777.7777778,13.71,35.768,778.3,133.93,18.53,2.033,31.54,7.921,0.013,999.87,1000.03,2334.5,381.7,0.006,0.001,0,South Indian Ocean
-14.9,84.74,5/13/2025 12:05,888.8888889,12.13,36.988,888.1,148.49,19.95,1.829,36.09,7.927,0.015,1001.16,1001.34,2455,327.8,0.004,0,0,South Indian Ocean
-14.9,84.74,5/2/2024 6:42,1000,8.76,35.634,1001.6,92.55,21.63,2.296,41.61,7.797,0.003,1000.76,1000.96,2413.4,301.4,0.002,0,0,South Indian Ocean
10.56,64.02,1/12/2024 1:10,0,29.38,34.849,1.3,212.16,3.9,0.229,0.82,8.123,1.391,996,996,2327.2,404.7,0.647,4.289,2000,Arabian Sea
10.56,64.02,1/6/2025 15:45,111.1111111,27.74,34.582,109.2,182.94,5.3,0.557,5.88,8.121,0.52,996.12,996.14,2290.8,413.3,0.751,0.701,216.7,Arabian Sea
10.56,64.02,10/6/2024 6:46,222.2222222,25.23,35.937,223.1,179.33,6.99,0.691,10.8,8.042,0.137,997.7,997.74,2277.6,355.7,0.389,0.044,23.5,Arabian Sea
10.56,64.02,4/13/2025 10:49,333.3333333,22.94,35.064,333.5,182.35,9.54,1.055,14.21,8.078,0.195,997.46,997.53,2351.1,407,0.205,0.17,2.5,Arabian Sea
10.56,64.02,8/27/2025 9:46,444.4444444,20.48,35.073,443.4,129.96,12.61,1.374,17.85,8.004,0.104,997.96,998.05,2344.6,369.3,0.076,0.059,0.3,Arabian Sea
10.56,64.02,2/16/2025 13:08,555.5555556,17.99,35.551,555.7,150.38,14.49,1.128,22.71,7.917,0.06,998.84,998.95,2305.1,375.2,0.022,0.01,0,Arabian Sea
10.56,64.02,6/28/2025 21:05,666.6666667,16.42,35.728,665.2,102.9,17.17,1.638,28.29,7.88,0.028,999.3,999.43,2303.1,388.7,0.008,0,0,Arabian Sea
10.56,64.02,6/21/2025 20:32,777.7777778,14.3,36.891,778.7,170.72,18.43,1.896,31.61,7.832,0.025,1000.65,1000.81,2416.2,326.9,0.004,0.001,0,Arabian Sea
10.56,64.02,7/15/2025 21:54,888.8888889,11.98,36.035,889.9,88.85,20.34,2.143,35.76,7.793,0.006,1000.43,1000.61,2282.7,360.2,0.002,0,0,Arabian Sea
10.56,64.02,5/17/2024 20:47,1000,9.45,35.566,1000.8,126.47,20.14,2.343,40.03,7.844,0.004,1000.56,1000.76,2393.5,347.1,0.001,0,0,Arabian Sea
-16.13,104.99,10/23/2024 18:18,0,29.09,35.725,1.1,208.74,1.58,0.114,0.51,8.062,0.234,996.76,996.76,2337,417.9,0.835,2.287,2000,Eastern Indian Ocean
-16.13,104.99,8/16/2025 15:06,111.1111111,26.16,34.735,111.7,217.37,6.42,0.46,6.1,8.138,0.801,996.56,996.58,2345.8,381.2,0.303,1.532,216.7,Eastern Indian Ocean
-16.13,104.99,11/6/2024 7:53,222.2222222,24.49,35.846,220.3,218.01,8.03,0.75,9.28,8.102,0.051,997.78,997.82,2366.5,402.6,0.437,0.126,23.5,Eastern Indian Ocean
-16.13,104.99,5/19/2025 23:16,333.3333333,22.13,36.145,332.8,213.45,7.44,0.911,14.15,8.017,0.192,998.49,998.56,2369.3,347.4,0.048,0.057,2.5,Eastern Indian Ocean
-16.13,104.99,3/2/2024 14:43,444.4444444,20.78,35.733,445,138.61,11.18,1.152,19.77,7.964,0.131,998.43,998.52,2278.6,388.9,0.028,0.044,0.3,Eastern Indian Ocean
-16.13,104.99,12/13/2024 11:28,555.5555556,17.64,35.046,555.6,131.12,11.31,1.547,22.68,7.925,0.022,998.51,998.62,2244.8,356.3,0.028,0.013,0,Eastern Indian Ocean
-16.13,104.99,2/25/2025 14:01,666.6666667,15.83,35.204,665.8,152.58,17.91,1.665,28.46,7.878,0.037,999,999.13,2256.5,363.5,0.009,0.001,0,Eastern Indian Ocean
-16.13,104.99,7/29/2024 10:15,777.7777778,12.64,35.621,779.3,124.93,19.63,2.011,33.04,7.863,0.006,999.97,1000.13,2424.4,345.6,0.001,0,0,Eastern Indian Ocean
-16.13,104.99,5/16/2025 19:35,888.8888889,10.54,35.345,890.9,158.71,18.32,2.026,36.66,7.777,0.01,1000.17,1000.35,2269.6,307.2,0.002,0.001,0,Eastern Indian Ocean
-16.13,104.99,6/6/2025 6:48,1000,8.87,36.606,999.2,77.08,21.37,2.109,41.04,7.867,0.007,1001.51,1001.71,2376,315.3,0.002,0,0,Eastern Indian Ocean
12.45,61,1/31/2025 22:04,0,28.91,34.505,0.8,190.54,1.37,0.403,1.71,8.048,1.121,995.82,995.82,2209.6,413.5,1.298,2.076,2000,Arabian Sea
12.45,61,3/6/2025 10:45,111.1111111,26.9,36.163,109.4,227.72,2.8,0.636,5.77,8.12,0.523,997.55,997.57,2380.5,404.2,0.427,0.039,216.7,Arabian Sea
12.45,61,9/2/2024 9:44,222.2222222,23.77,35.299,221.8,181.95,5.05,0.511,10.62,7.949,0.192,997.49,997.53,2326.1,348.8,0.044,0.522,23.5,Arabian Sea
12.45,61,4/22/2024 20:43,333.3333333,21.85,34.627,331.7,213.72,11.43,1.015,15.21,8.016,0.105,997.33,997.4,2379,347.1,0.067,0.107,2.5,Arabian Sea
12.45,61,1/1/2024 15:23,444.4444444,20.49,36.179,445.4,204.31,10.77,1.071,17.92,7.877,0.066,998.85,998.94,2432,349.4,0.007,0.007,0.3,Arabian Sea
12.45,61,7/26/2024 22:36,555.5555556,17.74,34.985,557.1,187.78,12.34,1.297,23.64,7.837,0.051,998.44,998.55,2357,366.3,0.025,0.007,0,Arabian Sea
12.45,61,5/9/2025 8:19,666.6666667,14.95,35.587,665.8,188.94,17.34,1.776,27.54,7.805,0.007,999.48,999.61,2331.9,333.8,0.014,0.002,0,Arabian Sea
12.45,61,2/26/2025 2:54,777.7777778,14.4,35.807,778.5,180.94,19.12,1.77,32.31,7.832,0.006,999.77,999.93,2419.8,378.7,0.005,0,0,Arabian Sea
12.45,61,3/13/2024 3:38,888.8888889,11.95,35.924,890.2,119.79,19.73,1.872,35.98,7.779,0.007,1000.35,1000.53,2326.9,334.5,0.003,0,0,Arabian Sea
12.45,61,11/17/2024 21:09,1000,8.57,37.011,1001.7,83.93,21.02,2.373,40.24,7.869,0.003,1001.89,1002.09,2454.7,356.3,0.003,0,0,Arabian Sea
-14.53,96.56,5/11/2024 12:07,0,28.92,35.616,-0.4,207.02,2,0.423,1.87,8.169,1.457,996.71,996.71,2407.5,405.6,1.867,1.586,2000,South Indian Ocean
-14.53,96.56,3/23/2025 3:49,111.1111111,27.35,34.954,112.2,220.27,4.38,0.326,4.97,8.096,0.322,996.49,996.51,2289.7,390,0.679,0.056,216.7,South Indian Ocean
-14.53,96.56,8/28/2024 3:51,222.2222222,25.09,35.827,223.7,216.9,4.72,0.554,9.84,8.116,0.34,997.64,997.68,2292.2,379.7,0.308,0.143,23.5,South Indian Ocean
-14.53,96.56,4/3/2024 22:38,333.3333333,22.73,36.356,333.5,138,8.78,0.734,13.67,8.028,0.27,998.54,998.61,2335.1,392.7,0.201,0.106,2.5,South Indian Ocean
-14.53,96.56,7/22/2025 20:42,444.4444444,19.23,35.92,446.2,159.92,11.16,0.975,19.6,7.973,0.15,998.89,998.98,2347.5,344.9,0.059,0.052,0.3,South Indian Ocean
-14.53,96.56,2/11/2025 19:05,555.5555556,17.49,36.616,557.5,174.97,13.3,1.583,22.51,7.837,0.024,999.79,999.9,2308.8,374.3,0.048,0.002,0,South Indian Ocean
-14.53,96.56,8/1/2025 15:26,666.6666667,16.23,35.752,668.1,180.88,17.43,1.523,26.69,7.821,0.02,999.36,999.49,2295.7,353.7,0.01,0.002,0,South Indian Ocean
-14.53,96.56,12/4/2024 19:30,777.7777778,14.3,35.806,778,137.91,16.82,2.025,32.36,7.871,0.016,999.78,999.94,2426.4,338.8,0.007,0,0,South Indian Ocean
